label,tweet
1,"RT @CurlsGoddess: Being so wrapped up in love that you stop doing well for YOU is what middle schoolers do, dumb bitch. I want just want mo&#8230;"
1,Don't blame me blame ya bitch can't help she want a nigga
1,@LoVeZanda so everybody knw I mis-spell shit &#128514;... ion proof read shit!!! let ah bitch call me dumb ima back dey ass up &#128526;
1,&#128128;&#128128; RT @monique504Q: &#128557;&#128128; &#8220;@ByeKandace: hop off hoe. RT @KekePalmer: Come on @KSTiLLS!!! &#128079;&#128079;&#128079;&#128079;&#128079;&#128079;&#128079;&#8221;
1,@jay_ibarra95 too bad bitch! You in this shit forever &#128123;&#128520;
1,@SNEAKERLUKE @wojtata @MIKEYMIKEROWAVE @JoeCushKush poor 5SOS has annoying ass cunts as fans. They don't care about you at all you know.
1,RT @_xCallMeZiaa: Lil stupid ass bitch.. i aint fucking with YOU &#128514;
1,"Ain't nothing funnier then watching somebody live a complete different life on the internet I be like ""who this hoe think she foolin"""
1,RT @ASAPYams: fresh razor blades in my goth bitch stocking
1,Just unfollowed another crazy bitch. Whos next? lol
1,Cute buff guy walked in and then he opened his mouth and he was a flipping retard &#128529;&#128530;
1,"""Bleed out hoe!!!"" -Alexa"
1,"LMAO did u really just call me a hoe? lol ""@CameronDurant15: @VroomDET @OPea4 yeah you hoe!"""
1,"RT @dreamhampton: bell hooks is ""bored"" by Nikki Minaj &amp; thinks ""pussy is old hat."" I'm bored by her old hat ass pop critiques."
1,RT @Now_Thats_Fresh: Any song with Tyga in it is trash
1,@SHAIkethatAss and I replied hoe http://t.co/738UP5PLia
1,"@mackgotti thats that "" never call a bitch again "" shit"
1,RT @itskingdee: @1inkkofrosess fuck them hoes! I have bigger problems like do you ever cook at your house lmao
1,"My mom is so clueless to what's going on with me lol she like ""you can't trust negros witcha money"" lmfao whaaaat?"
1,@CapoDaAssHole @Alejandro_Bihhh damn that hoe just came out but look at how many hoes said his shit jamming on my shit
1,@JalenDGAF @CourtniClark &#128308;&#9899;&#65039;&#128308;&#9899;&#65039;&#128308;&#9899;&#65039; no pressure hoe
1,Females be damn near naked wondering why niccas jus wanna fuk lol
1,RT @Brit_Stratton: Justification of my bitch face. Thanks @zzachbarness. http://t.co/A6giLjeE4x
1,".@SarahPalinUSA Wow, ""impeachment."" Look at you using your Vocab Workshop words. Guess we were only half wrong about you being a dumb cunt."
1,Illist bitch alive
1,@JUSTLOVE_NOHATE @Me_NOindirect whole hoe outchea.......
1,"@Godbody_ream ""I want to eat your pussy"" &#128514;&#128514;&#128514;"
1,RT @CoryLafon: I just wanna b a side nigga to a thick pretty faced cuffed hoe that does coke bumps garbage underground rappers n shops at p&#8230;
1,@yoKBFILTHY shit is trash
1,"RT @Lion_Heart__: &#8220;@FinallyGotANude: ""hippie dressed Tumblr bitches Smoke a blunt and all of a sudden they're the most abstract thinkers of&#8230;"
1,Bad bitch on my line tryna give me brains
1,Dumb cunt
1,@OVOmar23 thanks for the invite tho bitch
1,Bad bitch pussy aquafina call her Crystalina
1,"RT @_AshCrackk: My bitch bad, she from the island"
1,Lol Lebron a bitch.. Now that basketball is back say goodbye to sports center.. It's Lebron center now..
1,I wanna be around bitches &amp; have fun &#128556;
1,#vegas #bitch http://t.co/wbAqQ5vFpd
1,@ChristyMack ugly flat chested prude ass white bitch
1,@abbywiseman1 haha you were that bitch on our team &#128521;
1,"""@djsliime: That long distance shit wack I knew the bitch was cheating""- uh oh"
1,"RT @CauseWereGuys: Sex on 1st date dont mean you a hoe, waiting 120 days wont make you a wife, cute pics dont mean you happy &amp; having a tit&#8230;"
1,"RT @PowPowTheeEnd: Fucked all of tyga bitches ""@karyewest: 6God http://t.co/ltT5R4DRwL"""
1,@_thecrave only if it's funny tweets about ashy niggers
1,Play pussy and get fucked!
1,@ImEthan_Gregory eyy that pushin one for me bro cause you know that bitch better blow hah
1,@Rhyds_herrrrrr shoulda came to bird mans that shit was so lit
1,RT @OG_Kicks: I love my girlfriend she be shitting on y'all hoes. &#128514;&#128175;
1,RT @CornerBoyP: Hoes b soo lost dey forget dey hoes.....
1,"RT @FirearmsDaily: Statistics don't lie, if you like gun control you're a queer guy. #FD"
1,Jada Fire has never dropped me for talking to imaginary hoes
1,"RT @Xianilee: All three of these hoes getting cute for fucking school, taking for ever and waking me the fuck up ! This why I can't stand h&#8230;"
1,"RT @TheReal_Salmon: Snail hoe: my parents just left, they gonna be gone for 15 mins..

Snail: ok ?

Snail hoe: Im horny af

Snail:... http:&#8230;"
1,BITCH!!! RT @jla_b: Stop thinking ur entitled to politically correct responses...bitch
1,"Lasted year i cuffed that bitch , Well now its over !"
1,@ThatSlutAdrian bitch ask a day off
1,&#8220;@ithinkthatway: I want my ears to look like this &#128066;&#128149; http://t.co/oBVU5ZN3zC&#8221; I just want this bitches earrings lol &#128513;
1,My bitch bad like Brittany but I wish I had Brittany
1,My pussy ass car won't start.... It's scared of the cold....
1,RT @TheNudesGod: when my girl don't text me back I just tweet. I don't text other bitches Bc I don't want her texting other niggas when I d&#8230;
1,RT @FriendlyAssh0le: These 13 yr old bitches really got that minimum wage nigga alex thinking about starting a clothing line. Im done with &#8230;
1,@Prince_WilliamB @MixyArts This nothing to do with my shoes you ignorant twat.
1,"RT @ItsSonGoku: Don't Get Spirit Bombed Lil Nigga RT @LeanandCuisine: Dragonball z trash, debate me if you want"
1,@LadyVodkax keep them around so new bitches know they could be the next ex if they dont stay in line.
1,"&#8220;@sammyk1429: ""I am not a bitch, I am the bitch. So that is Ms. Bitch to you!"" &#128540;&#8221;"
1,@ozzie_garza stfu bitch
1,A lotta u niccas ain't who u say u is!
1,"RT @omfgmeezy: maybe 

nobody 

likes 

you 

because 

you're 

a 

bitch"
1,"RT @ReallyHighIdeas: Scientists have recently discovered that bitches, do in fact, be trippin'"
1,RT @POONsoaker: You retarded if you say Birdmsn don't go hard.
1,Man dude next to me got 2 of the worst looking hoes I ever seen but hey it is 2
1,RT @kxllcity_: why do females think its cute too be rude af all the time and mean for no reason that shit aint cute bitch
1,"Fat hoes on Twitter calling themselves Barbies, bitch you ain't no damn Barbie you a damn care bear."
1,"RT @_BmoreMartyr: ""@WB_Pooh_3x: What the fuck was wrong with me? Thinking I can wife this hoe.&#128514;""&#128080;&#128552;&#128516;"
1,RT @TooTurntNacho: Why give a bitch ya heart when she rather have a purse.
1,"@CuckoldCock @molotovhowdy 
I likes yo page. I wants to make da lovin to a white girl wit a colored man watchin and pullin his weenis"
1,@DerringerEagle ur moms pussy died a slow death so well have good company #virgin
1,@SacTownProdigy lol just like RGIII and go out like a weak bitch and return the next year and win 3 games
1,@CayMarieee bitch I'm not coming no more you said your making plans !
1,Don't let this natural hair care shit fool you. Some of you hoes need a perm.
1,@Stillmatic_12 @mike_ray7 what a retard
1,@laceeybugg atleast i dont have dick breath you twat licker
1,LITERALLY &#8220;@Al_gatsby: Fat hoes hold a nigga down&#8221;
1,Cruise's recent comments make him a bigger douchebag than Charlie Sheen &amp; he didn't even have any 'Tiger Blood'
1,RT @Uptown_Byrd: Philly full of these type hoes. Broke bitches! http://t.co/AZh2Ql6lwN
1,For every thirst dog lies a thirsty bitch.
1,Only keep real bitches in attendance &#128109;&#128129;
1,Omfg I'm about to murk a bitch all I see is red dude
1,Bitches be like I want something real ... And I be like I want a bitch with real hair but we can't always get what we want now can we lol
1,*Nicolas Cage unrolls dusty secret scroll* It says here James Madison was a whiny little bitch
1,Ibuki&#180;s shaved pussy fingered and fucked before her tight little rosebud of an ass is&#160;destroyed http://t.co/kPxRSZVD9K
1,I really committed to fucking with the richest of bitches
1,"RT @SuziDodt: Science, bitch! #TheWalkingDead"
1,"@z0mbiedance I know, bitches. Let's do something this weekend. Let's bake!"
1,"@Real_Liam_Payne be a pussy

as in cat"
1,"RT @chvmpagne: fat bitch: ""I'm thick"" http://t.co/LqXvllvzHJ"
1,@cristiannt_ bitch I back shit up fuck nigga
1,Can Dick Sherman get caught doing blow of a tranny hooker some time soon please? Preferably Pete Carroll
1,@RealWallieWall Ms. Martinez fuckin with the cripple kid?!
1,"Nigga fuck up. Ain't none of that shit Goin down with yo niggas RT @FrancoisKilljoy: You niggas think you feeling &#128056;, bitch? My niggas &#128058; you"
1,"RT @gnuts_2: RT""@Ashspeaks_: To these hoes I'm everything"""
1,I'm fasho in that hoe then! RT @BJayBlast: TBRetreat is about to be 21+? I'm in that hoe for real this time!
1,@littleelexx you a bitch tho I know for sure I'm not. You'd get your ass beat by any of my bitches that's fact &#128514;&#128514;
1,RT @lirryfeelsugh: I've always wanted to do a YouTube cover but I'm too pussy so umm okay how about this ._. 35 RTS and I will post a cover&#8230;
1,RT @RealNiggaSherm: I can't trust a bitch I can't trust myself
1,RT @gabrielleheaton: I see the same hoes&#128064;
1,Im in a full suit bow tie and all at a restaurant &amp; called my frat a bitch ass nigga.Caught myself Bc Im around white ppl staring at me lol
1,@marcus2kings yeah hoe ass nigga &#128532;&#128532;&#128532;
1,@CinWicked Did you just call My Sweet Baboo a ho?!?!
